"lineage","sample","meanAF","meanAF_uniq","minAF_uniq_nonzero","N","lineage N. rules","lineage prop."
"XBF.1","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBF.2","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBF.3","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBF.4","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBF.5","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBF.6","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBF.7","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBF.7.1","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBF.9",NA,0,0,NA,0,1,0
"XBG","Mixture04",0.0172413793103448,0,NA,1,58,0.0172413793103448
"XBH",NA,0,0,NA,0,1,0
"XBJ","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBJ.1","Mixture04",0.0140845070422535,0,NA,1,71,0.0140845070422535
"XBJ.2","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XBK","Mixture04",0.0149253731343284,0,NA,1,67,0.0149253731343284
"XBK.1","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBL","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBL.1","Mixture04",0.0136986301369863,0,NA,1,73,0.0136986301369863
"XBL.2","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBL.3","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBM","Mixture04",0.0169491525423729,0,NA,1,59,0.0169491525423729
"XBN","Mixture04",0.0144927536231884,0,NA,1,69,0.0144927536231884
"XBP","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBR","Mixture04",0.0138888888888889,0,NA,1,72,0.0138888888888889
"XBU","Mixture04",0.0147058823529412,0,NA,1,68,0.0147058823529412
"XBV",NA,0,0,NA,0,1,0
"XBW","Mixture04",0.0151515151515152,0,NA,1,66,0.0151515151515152
"XBZ","Mixture04",0.015625,0,NA,1,64,0.015625
"XCA","Mixture04",0.0142857142857143,0,NA,1,70,0.0142857142857143
"XCB","Mixture04",0.0172413793103448,0,NA,1,58,0.0172413793103448
"XCC","Mixture04",0.0178571428571429,0,NA,1,56,0.0178571428571429
"XE","Mixture04",0.0192307692307692,0,NA,1,52,0.0192307692307692
"XG","Mixture04",0.0188679245283019,0,NA,1,53,0.0188679245283019
"XJ","Mixture04",0.0185185185185185,0,NA,1,54,0.0185185185185185
"XL","Mixture04",0.0181818181818182,0,NA,1,55,0.0181818181818182
"XM","Mixture04",0.0208333333333333,0,NA,1,48,0.0208333333333333
"XN","Mixture04",0.0208333333333333,0,NA,1,48,0.0208333333333333
"XQ","Mixture04",0.0192307692307692,0,NA,1,52,0.0192307692307692
"XS","Mixture04",0.02,0,NA,1,50,0.02
"XU","Mixture04",0.02,0,NA,1,50,0.02
