Sample name,lineages,abundances,scheme,tool,Background,expected_abundance,percent_of_expected
o2o3o4o5,BA.5.X,0.1581,LCS: PWRB,LCS,PWRB,0.3125,50.59199999999999
o2o3o4o5-2,BA.5.X,0.0543,LCS: PWRB,LCS,PWRB,0.25,21.72
o2o3o4o5-3,BA.5.X,0.2249,LCS: PWRB,LCS,PWRB,0.25,89.96
o5,BA.5.X,0.9646,LCS: PWRB,LCS,PWRB,1.0,96.46000000000001
o5-2,BA.5.X,0.9305,LCS: PWRB,LCS,PWRB,1.0,93.05
o5-3,BA.5.X,0.9472,LCS: PWRB,LCS,PWRB,1.0,94.72
0adgio1o2o3o4o5,BA.5.X,0.1192,LCS: WB,LCS,WB,0.13333333333333333,89.4
0aio1o2o3o4o5,BA.5.X,0.0573,LCS: WB,LCS,WB,0.125,45.839999999999996
0o5o3o4,BA.5.X,0.1629,LCS: WB,LCS,WB,0.25,65.16
agio3o4o5,BA.5.X,0.1307,LCS: WB,LCS,WB,0.1875,69.70666666666668
o1o2o3o4o5,BA.5.X,0.334,LCS: WB,LCS,WB,0.25,133.6
o2o3o4o5,BA.5.X,0.4001,LCS: WB,LCS,WB,0.3125,128.032
o2o3o4o5-2,BA.5.X,0.2776,LCS: WB,LCS,WB,0.25,111.04
o2o3o4o5-3,BA.5.X,0.2278,LCS: WB,LCS,WB,0.25,91.12
o5,BA.5.X,0.9426,LCS: WB,LCS,WB,1.0,94.26
o5-2,BA.5.X,0.971,LCS: WB,LCS,WB,1.0,97.1
o5-3,BA.5.X,0.942,LCS: WB,LCS,WB,1.0,94.19999999999999
0adgio1o2o3o4o5,BA.5.X,0.11,LolliPop: NWRB,LolliPop,NWRB,0.13333333333333333,82.5
0aio1o2o3o4o5,BA.5.X,0.0982,LolliPop: NWRB,LolliPop,NWRB,0.125,78.56
0o5o3o4,BA.5.X,0.1324,LolliPop: NWRB,LolliPop,NWRB,0.25,52.959999999999994
agio3o4o5,BA.5.X,0.1124,LolliPop: NWRB,LolliPop,NWRB,0.1875,59.94666666666667
o1o2o3o4o5,BA.5.X,0.1705,LolliPop: NWRB,LolliPop,NWRB,0.25,68.2
o2o3o4o5,BA.5.X,0.2333,LolliPop: NWRB,LolliPop,NWRB,0.3125,74.656
o2o3o4o5-2,BA.5.X,0.126,LolliPop: NWRB,LolliPop,NWRB,0.25,50.4
o2o3o4o5-3,BA.5.X,0.1813,LolliPop: NWRB,LolliPop,NWRB,0.25,72.52
o5,BA.5.X,0.8566,LolliPop: NWRB,LolliPop,NWRB,1.0,85.66
o5-2,BA.5.X,0.9026,LolliPop: NWRB,LolliPop,NWRB,1.0,90.25999999999999
o5-3,BA.5.X,0.7706,LolliPop: NWRB,LolliPop,NWRB,1.0,77.06
0adgio1o2o3o4o5,BA.5.X,0.0906,LolliPop: PWRB,LolliPop,PWRB,0.13333333333333333,67.95
0aio1o2o3o4o5,BA.5.X,0.073,LolliPop: PWRB,LolliPop,PWRB,0.125,58.4
0o5o3o4,BA.5.X,0.1077,LolliPop: PWRB,LolliPop,PWRB,0.25,43.08
agio3o4o5,BA.5.X,0.0771,LolliPop: PWRB,LolliPop,PWRB,0.1875,41.120000000000005
o1o2o3o4o5,BA.5.X,0.0646,LolliPop: PWRB,LolliPop,PWRB,0.25,25.840000000000003
o2o3o4o5,BA.5.X,0.1212,LolliPop: PWRB,LolliPop,PWRB,0.3125,38.784
o2o3o4o5-2,BA.5.X,0.0641,LolliPop: PWRB,LolliPop,PWRB,0.25,25.64
o2o3o4o5-3,BA.5.X,0.1725,LolliPop: PWRB,LolliPop,PWRB,0.25,69.0
o5,BA.5.X,0.8627,LolliPop: PWRB,LolliPop,PWRB,1.0,86.27
o5-2,BA.5.X,0.915,LolliPop: PWRB,LolliPop,PWRB,1.0,91.5
o5-3,BA.5.X,0.7767,LolliPop: PWRB,LolliPop,PWRB,1.0,77.66999999999999
0adgio1o2o3o4o5,BA.5.X,0.1166,LolliPop: WB,LolliPop,WB,0.13333333333333333,87.44999999999999
0aio1o2o3o4o5,BA.5.X,0.1316,LolliPop: WB,LolliPop,WB,0.125,105.28
0o5o3o4,BA.5.X,0.1954,LolliPop: WB,LolliPop,WB,0.25,78.16
agio3o4o5,BA.5.X,0.1422,LolliPop: WB,LolliPop,WB,0.1875,75.84
o1o2o3o4o5,BA.5.X,0.1897,LolliPop: WB,LolliPop,WB,0.25,75.88000000000001
o2o3o4o5,BA.5.X,0.2016,LolliPop: WB,LolliPop,WB,0.3125,64.512
o2o3o4o5-2,BA.5.X,0.1267,LolliPop: WB,LolliPop,WB,0.25,50.68
