lineage,sample,meanAF,meanAF_uniq,minAF_uniq_nonzero,N,lineage N. rules,lineage prop.
CM.5.2,NA,0,0,NA,0,1,0
CM.6,NA,0,0,NA,0,1,0
CM.6.1,NA,0,0,NA,0,1,0
CM.7,NA,0,0,NA,0,1,0
CM.8,NA,0,0,NA,0,1,0
CM.8.1,NA,0,0,NA,0,1,0
CM.8.1.2,NA,0,0,NA,0,1,0
CM.8.1.3,NA,0,0,NA,0,1,0
CM.8.1.4,NA,0,0,NA,0,1,0
CM.9,NA,0,0,NA,0,1,0
CN.1,NA,0,0,NA,0,1,0
CN.2,NA,0,0,NA,0,1,0
CP.1,NA,0,0,NA,0,1,0
CP.1.1,NA,0,0,NA,0,1,0
CP.1.2,NA,0,0,NA,0,1,0
CP.1.3,NA,0,0,NA,0,1,0
CP.2,NA,0,0,NA,0,1,0
CP.3,NA,0,0,NA,0,1,0
CP.4,NA,0,0,NA,0,1,0
CP.5,NA,0,0,NA,0,1,0
CP.6,NA,0,0,NA,0,1,0
CP.8,NA,0,0,NA,0,1,0
CQ.1,NA,0,0,NA,0,1,0
CQ.1.1,NA,0,0,NA,0,1,0
CQ.2,NA,0,0,NA,0,1,0
CR.1,NA,0,0,NA,0,1,0
CR.1.1,NA,0,0,NA,0,1,0
CR.1.3,NA,0,0,NA,0,1,0
CR.2,NA,0,0,NA,0,1,0
CS.1,NA,0,0,NA,0,1,0
CT.1,NA,0,0,NA,0,1,0
CV.1,NA,0,0,NA,0,1,0
CV.2,NA,0,0,NA,0,1,0
CY.1,NA,0,0,NA,0,1,0
CZ.2,NA,0,0,NA,0,1,0
DA.1,NA,0,0,NA,0,1,0
DB.1,NA,0,0,NA,0,1,0
DB.2,NA,0,0,NA,0,1,0
DC.1,NA,0,0,NA,0,1,0
DD.1,NA,0,0,NA,0,1,0
DE.1,NA,0,0,NA,0,1,0
DE.2,NA,0,0,NA,0,1,0
DF.1,NA,0,0,NA,0,1,0
DF.1.1,NA,0,0,NA,0,1,0
DG.1,NA,0,0,NA,0,1,0
DJ.1,NA,0,0,NA,0,1,0
DJ.1.1,NA,0,0,NA,0,1,0
DJ.1.1.1,NA,0,0,NA,0,1,0
DJ.1.2,NA,0,0,NA,0,1,0
DJ.1.3,NA,0,0,NA,0,1,0
DK.1,NA,0,0,NA,0,1,0
DL.1,NA,0,0,NA,0,1,0
DM.1,NA,0,0,NA,0,1,0
DN.1,NA,0,0,NA,0,1,0
DN.1.1,NA,0,0,NA,0,1,0
DN.1.1.2,NA,0,0,NA,0,1,0
DN.1.1.3,NA,0,0,NA,0,1,0
DN.1.1.4,NA,0,0,NA,0,1,0
DN.2,NA,0,0,NA,0,1,0
DN.3,NA,0,0,NA,0,1,0
DN.3.1,NA,0,0,NA,0,1,0
DQ.1,NA,0,0,NA,0,1,0
DR.1,NA,0,0,NA,0,1,0
DR.2,NA,0,0,NA,0,1,0
DS.1,NA,0,0,NA,0,1,0
DS.2,NA,0,0,NA,0,1,0
DS.3,NA,0,0,NA,0,1,0
DT.1,NA,0,0,NA,0,1,0
DT.2,NA,0,0,NA,0,1,0
DT.3,NA,0,0,NA,0,1,0
DU.1,NA,0,0,NA,0,1,0
DV.1,NA,0,0,NA,0,1,0
DV.1.1,NA,0,0,NA,0,1,0
DV.2,NA,0,0,NA,0,1,0
DV.3,NA,0,0,NA,0,1,0
DV.3.1,NA,0,0,NA,0,1,0
DV.4,NA,0,0,NA,0,1,0
DV.5,NA,0,0,NA,0,1,0
DV.6,NA,0,0,NA,0,1,0
DY.1,NA,0,0,NA,0,1,0
DY.2,NA,0,0,NA,0,1,0
DY.3,NA,0,0,NA,0,1,0
DY.4,NA,0,0,NA,0,1,0
DZ.1,NA,0,0,NA,0,1,0
EA.1,NA,0,0,NA,0,1,0
EB.1,NA,0,0,NA,0,1,0
EC.1,NA,0,0,NA,0,1,0
EC.1.1,NA,0,0,NA,0,1,0
ED.1,NA,0,0,NA,0,1,0
ED.2,NA,0,0,NA,0,1,0
ED.3,NA,0,0,NA,0,1,0
EE.1,NA,0,0,NA,0,1,0
EE.2,NA,0,0,NA,0,1,0
EE.3,NA,0,0,NA,0,1,0
EE.4,NA,0,0,NA,0,1,0
EE.5,NA,0,0,NA,0,1,0
EF.1,NA,0,0,NA,0,1,0
EF.1.1,NA,0,0,NA,0,1,0
EF.1.1.1,NA,0,0,NA,0,1,0
EF.1.2,NA,0,0,NA,0,1,0
EF.1.3,NA,0,0,NA,0,1,0
EF.2,NA,0,0,NA,0,1,0
EG.1,NA,0,0,NA,0,1,0
